n = 1000000 ,dist = 2.913225e-13 ,duration = 2.694836e+00 ,selected_d = 1.766402e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.095347e+00 ,selected_d = 4.754206e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.843765e+00 ,selected_d = 3.642180e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.714856e+00 ,selected_d = 1.939586e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.016292e+00 ,selected_d = 3.745164e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.409366e+00 ,selected_d = 1.152198e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.108063e+00 ,selected_d = 2.319808e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.768038e+00 ,selected_d = 2.713074e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.874550e+00 ,selected_d = 4.633324e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.736226e+00 ,selected_d = 1.673025e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.856841e+00 ,selected_d = 2.704641e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.810303e+00 ,selected_d = 2.346329e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.864002e+00 ,selected_d = 2.179015e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.845990e+00 ,selected_d = 4.082030e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.697225e+00 ,selected_d = 3.207272e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.724772e+00 ,selected_d = 2.568790e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.498402e+00 ,selected_d = 2.429171e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.252512e+00 ,selected_d = 4.562045e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.610174e+00 ,selected_d = 1.641133e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.826590e+00 ,selected_d = 8.937383e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.669528e+00 ,selected_d = 1.979030e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.948072e+00 ,selected_d = 1.657410e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.313782e+00 ,selected_d = 8.622405e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.748215e+00 ,selected_d = 8.360671e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.709627e+00 ,selected_d = 1.634110e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.161048e+00 ,selected_d = 6.354358e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.768524e+00 ,selected_d = 1.821936e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.302508e+00 ,selected_d = 1.153391e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.722954e+00 ,selected_d = 2.676641e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.872400e+00 ,selected_d = 6.409425e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.725454e+00 ,selected_d = 1.519169e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.735902e+00 ,selected_d = 2.067801e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.778628e+00 ,selected_d = 2.006176e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.658802e+00 ,selected_d = 1.265750e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.607704e+00 ,selected_d = 1.091113e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.960606e+00 ,selected_d = 4.738842e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.766827e+00 ,selected_d = 3.006324e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.138957e+00 ,selected_d = 8.681400e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.138589e+00 ,selected_d = 7.457661e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.622643e+00 ,selected_d = 1.350942e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.999184e+00 ,selected_d = 7.004651e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.758095e+00 ,selected_d = 2.790705e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.261192e+00 ,selected_d = 1.831098e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.785694e+00 ,selected_d = 4.003968e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.703314e+00 ,selected_d = 1.511929e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.662164e+00 ,selected_d = 3.233433e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.726009e+00 ,selected_d = 3.436674e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.010033e+00 ,selected_d = 2.775810e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.232480e+00 ,selected_d = 1.068960e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.111752e+00 ,selected_d = 2.883694e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.691401e+00 ,selected_d = 1.875093e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.232430e+00 ,selected_d = 1.053755e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.766080e+00 ,selected_d = 3.060835e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.846106e+00 ,selected_d = 3.336929e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.675129e+00 ,selected_d = 7.299123e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.263896e+00 ,selected_d = 2.154122e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.782849e+00 ,selected_d = 3.661811e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.932958e+00 ,selected_d = 1.107259e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.235049e+00 ,selected_d = 8.181394e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.381488e+00 ,selected_d = 1.491890e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.914115e+00 ,selected_d = 1.588682e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.437424e+00 ,selected_d = 3.120562e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.768557e+00 ,selected_d = 1.824424e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.806536e+00 ,selected_d = 4.150115e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.964574e+00 ,selected_d = 6.601207e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.812265e+00 ,selected_d = 6.974373e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.346680e+00 ,selected_d = 6.521511e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.045586e+00 ,selected_d = 3.018110e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 7.511335e+00 ,selected_d = 1.621685e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.207273e+00 ,selected_d = 2.857200e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.452674e+00 ,selected_d = 2.810668e-07
